Filename,Change of Control,Anti-assignment
NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement.pdf,,"Except as otherwise set forth herein, neither Party shall transfer, assign or cede any rights or delegate any obligations hereunder, in whole or in part, whether voluntarily or by operation of law, without the prior written consent of the other Party, which consent may be withheld at the other Party's reasonable business discretion; provided, however, that either Party may transfer this Agreement without prior written consent of the other Party to an Affiliate or in connection with a merger or sale of all or substantially all of the stock or assets of such Party. (Page 12)"
PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement.pdf,,"Except as otherwise set forth herein, neither party shall transfer, assign or cede any rights or delegate any obligations hereunder, in whole or in part, whether voluntarily or by operation of law, without the prior written consent of the other party, which consent may be withheld at the other party's reasonable business discretion; provided, however, that either party may transfer this Agreement without prior written consent of the other party to an Affiliate or in connection with a merger or sale of all or substantially all of the stock or assets of such party. (Page 9)"
RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement.pdf,"In the event more that there is a change in ownership  representing  fifty  percent (50%) or more of the equity ownership of either  party, the other party may, at its option, terminate this Agreement upon written  notice. (Page 5)","Neither  NETTAXI  or  SpinRecords.com shall assign its              ---------- respective  rights  or delegate its obligations hereunder, either in whole or in part,  whether  by  operation  of  law  or  otherwise, without the prior written consent  of  the other party. Any attempted assignment or delegation without the other  party's  written  consent  will  be  void. (Page 6)"
RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement.pdf,"In the event there is a change of Control of an Affiliate which terminates its status as an Affiliate of the party to this Agreement, and this Agreement has been assigned to such an Affiliate, this Agreement must be assigned back to the party within 6 months of the effective date of the change of Control. (Page 10)","This Agreement may be assigned or otherwise transferred, by operation of law or otherwise without the express written consent of PlanetCAD and Dassault Systemes, but in such event the assigning Party shall give notice to the non-assigning Party and the non-assigning Party shall have the right to terminate this Agreement within the 30-day period following receipt of such notice. (Page 10)  Either party may assign or otherwise transfer all or part of this Agreement to any of its Affiliates, and for as long as it remains an Affiliate; provided that no such assignment shall relieve a party of any of its obligations under this Agreement. (Page 10)"
TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.pdf,"By providing written notice, theglobe may terminate this Agreement in its sole discretion if one of the following companies (or their subsidiaries) does an ""Ownership Change Event"": Lycos, Yahoo (including GeoCities, which shall be included even if their proposed merger does not occur), Xoom, Fortune City, Excite, Go Network (including Disney and Infoseek), Snap! (including NBC) and AOL. (Page 4)  An ""Ownership Change Event"" means: (x) the acquisition of 50% or more of Boxlot's equity or voting interests; (y) a merger or consolidation of Boxlot; or (z) the sale, exchange or transfer of all or substantially all of Boxlot's assets related to the Service. (Page 4)","Neither party may assign its rights or delegate its duties hereunder (except to an affiliated company, or to a successor in interest in the event of a merger, sale of assets of the business to which this Agreement is related, or consolidation) without the other party's prior written consent, and any purported attempt to do so is null and void. (Page 5)"
StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement.pdf,"The Company may, at its option, terminate the exclusivity provisions set forth in this Section 3(d)  [Exclusivity] upon the occurrence of any of the following events: <omitted> (B) MBE ceases to own at least [***]* shares of <omitted> common stock of the Company (calculated on an as-converted basis and as adjusted for any stock split, stock dividend, recapitalization or similar transaction). (Pages 4-5)","Each party shall have the right to assign its rights, <omitted> obligations and privileges hereunder to an assignee in connection with any merger, acquisition or sale of all or substantially all of the business to which this Agreement relates. (Page 14)"
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.pdf,"Network Affiliate may not assign or transfer, by operation of law or otherwise, any of its rights under this  Agreement or delegate any of its duties under this Agreement to any third party without NCM’s prior written consent, which consent shall not be  unreasonably withheld, conditioned or delayed (Page 31)  For the purposes of this Agreement, any change of control, merger, consolidation, or acquisition  of all or substantially all of the assets of Network Affiliate (collectively, a “Change of Control”) shall be deemed an assignment. (Page 31)","Network Affiliate may not assign or transfer, by operation of law or otherwise, any of its rights under this  Agreement or delegate any of its duties under this Agreement to any third party without NCM’s prior written consent, which consent shall not be  unreasonably withheld, conditioned or delayed. (Page 31)  This Agreement  shall not be assignable by either party unless the assignee expressly assumes in writing the obligations of the assignor hereunder. (Page 31)  Any attempted  assignment in violation of this section shall be void. (Page 31)"
LinkPlusCorp_20050802_8-K_EX-10_3240252_EX-10_Affiliate Agreement.pdf,,This Agreement may not be assigned in whole or in part by                   either party without prior written consent of the other. (Page 6)
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.pdf,,"This Agreement shall be binding on the respective transferees and successors of the parties hereto, except that neither this Agreement nor either party’s rights or obligations hereunder shall be assigned or transferred by either party without the prior written consent of the other party. (Page 15)"
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.pdf,,This  agreement  may  not  be assigned or delegated by Affiliate without  prior  written  consent  from  Network  1. (Page 5)
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement.pdf,,Neither party may assign this Agreement or the rights and obligations thereunder to any third party without the prior  express written approval of the other party which shall not be unreasonably withheld. (Page 7)
BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement.pdf,"In the case of reorganization, merger, consolidation, or sale of all or substantially all of its  assets, any attempt to assign this Agreement other than as permitted above will be null and void. (Page 9)","Berkshire may not assign this Agreement,  in whole or in part, without Auriemma’s written consent. (Page 9)"
GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement.pdf,,"Company will not sublicense pass-through or otherwise grant to any third parties the rights granted to Company hereunder without the NFLA prior written consent, including but not limited to the right to use the Licensed Marks. (Page 2)"
LegacyEducationAllianceInc_20141110_8-K_EX-10.9_8828866_EX-10.9_Endorsement Agreement.pdf,,The Parties may not assign this Agreement or the rights and obligations hereunder to any third party without the prior express written approval of the other Party. (Page 7)
LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement.pdf,,"Neither party will assign any of its rights or obligations under this Agreement without the prior written consent of the other party, such consent not to be unreasonably, conditioned, withheld or delayed. (Page 3)"
PerformanceSportsBrandsInc_20110909_S-1_EX-10.10_7220214_EX-10.10_Endorsement Agreement.pdf,,Neither party to this Agreement shall assign the rights and benefits herein without the prior written consent of the other party. (Page 10)
PharmagenInc_20120803_8-KA_EX-10.1_7693204_EX-10.1_Endorsement Agreement.pdf,,Neither this Agreement nor any of the rights or obligations contained herein may be assigned or  transferred by either party without the prior written consent of the other party. (Page 5)
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement.pdf,,Society membership rights and privileges cannot be transferred or assigned. (Page 2)
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement.pdf,,"This Agreement will automatically terminate in the event of its ""assignment"" (as such term is defined for purposes of Section 15(a) (4) of the Investment Fund Act). (Page 4)"
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement.pdf,,"Neither Party may assign or transfer this Agreement or any rights or obligations hereunder without the prior written consent of the other Party, except that a Party may make such an assignment or transfer without the other Party’s written consent to (a) any of its Affiliates, in whole or in part, or (b) any Third Party in connection with (i) the acquisition of such Party by or merger or consolidation of such Party with another entity or (ii) a merger, consolidation, sale of stock, sale of all or substantially all of such Party’s assets or other similar transaction in which such Third Party either becomes the owner of all or substantially all of the business and assets of (y) such Party or (z) that portion of such Party’s business or business unit relating to this Agreement. (Page 47)  Any assignment or transfer, or attempted assignment or transfer, by either Party in violation of the terms of this Section 15.6 shall be null and void and of no legal effect. (Page 48)"
ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement.pdf,,"The Developer may not, without the written consent of the Client, assign, subcontract, or delegate its obligations under this Agreement, except that the Developer may transfer the right to receive any amounts that may be payable to it for its Services under this Agreement, which transfer will be effective only after receipt by the Client of written notice of such assignment or transfer. (Page 6)"
CoherusBiosciencesInc_20200227_10-K_EX-10.29_12021376_EX-10.29_Development Agreement.pdf,"Bioeq may terminate this Agreement immediately upon written notice to Licensee, if Licensee conducts any clinical development of, markets, sells or distributes any Competitive Product in the Territory, whether directly or indirectly through the intermediary of a Third Party or its Affiliates (Restricted Activities); provided, that in the event that Restricted Activities are being or would be deemed to be conducted by Licensee solely in connection with a Competitor Change of Control, Bioeq may not terminate this Agreement in accordance with this Section 15.2.2 and instead may terminate this Agreement in accordance with Section 15.2.9. (Page 33)  Licensee shall notify Bioeq in writing within [***] ([***]) days after entry by Licensee into a definitive agreement which would result in a Competitor Change of Control. (Page 35)  Upon the consummation of such definitive agreement, if Licensee has not then divested all such Competitive Products such that a Competitor Change of Control has occurred, Bioeq may, upon sending written notice to Licensee within sixty (60) days thereafter, terminate this Agreement. (Page 35)","Except as otherwise expressly provided under this Agreement, neither Party may assign or otherwise transfer this Agreement or any right or obligation hereunder (whether voluntarily, by operation of law or otherwise), without the prior express written consent of the other Party; except however, that either Party shall be permitted to effect such an assignment or transfer without the consent of the other Party to (a) any of its Affiliates or (b) in connection with a sale of all or substantially all of its assets to which this Agreement relates, whether by merger, acquisition, asset sale, stock purchase, or otherwise, but in any event subject to Bioeq’s ability to terminate this Agreement in accordance with Section 15.2.9 (for the avoidance of doubt, such termination right pursuant to Section 15.2.9 shall apply mutatis mutandis in case of assignment of the Agreement to a Competitor in all cases listed under subsection (b) above) (Page 38)  Any purported assignment or transfer in violation of this Section 16.4 shall be null and void. (Page 38)  Licensee shall be entitled to freely subcontract or delegate any of its rights or obligations under this Agreement to its Affiliates or to Third Parties, provided that (i) all sales of Licensed Products in the Field in the Territory continue to be made by Licensee or its Affiliates (or their wholesalers or distributors) and (ii) Licensee shall remain liable for the performance of its obligations under this Agreement. (Page 38)"
ElPolloLocoHoldingsInc_20200306_10-K_EX-10.16_12041700_EX-10.16_Development Agreement.pdf,"For purposes of this Section, a sale of stock, or any membership or partnership interest in Developer, or a merger or other combination of Developer shall be considered a transfer of Developer's interest prohibited hereunder. (Page 8)  The following events shall constitute a default by Developer, which shall result in El Pollo Loco's right to declare the termination of this Agreement, if such default is not cured within thirty (30) days after written notice by Franchisor to Developer: <omitted> d. Any change, transfer or conveyance (“Transfer”) in the ownership of Developer, which Transfer has not been approved in advance by Franchisor. (Page 10)  Franchisor reserves the right to approve or disapprove any Transfer as its sole and absolute right. (Page 10)","Therefore, the rights, privileges and interests of Developer under this Agreement shall not be assigned, sold, transferred, leased, divided or encumbered, voluntarily or involuntarily, in whole or in part, by operation of law or otherwise without the prior written consent of El Pollo Loco, which consent may be given or withheld as El Pollo Loco’s sole and absolute right. (Page 8)  The following events shall constitute a default by Developer, which shall result in El Pollo Loco's right to declare the immediate termination of this Agreement. <omitted> b. Any assignment, transfer or sublicense of this Agreement by Developer without the prior written consent of El Pollo Loco. (Page 9)"
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement.pdf,,"Dr. Murray has unique qualifications to provide the services contemplated herein, and shall not assign any of its or his rights or obligations to any other person or entity without EHS’s written consent, which may be withheld or granted in EHS’s discretion. (Page 5)"
HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.PDF,"Notwithstanding the provisions of Section 5.8, if, during the Term, (a) Harpoon or any of its Affiliates acquires, as the result of an Acquisition, rights to a Competing Product, such Acquisition, and the development, manufacture or commercialization of such Competing Product thereafter, shall not constitute a breach of Section 5.8 if Harpoon or such Affiliate, as applicable, [***]; or (b) Harpoon undergoes a Change in Control and the relevant acquirer is either then commercializing a Competing Product, or has in development any Competing Product, such Change in Control, and the commercialization (or development and subsequent commercialization, if such Competing Product receives Regulatory Approval) of such Competing Product by such relevant acquirer or any of its Affiliates, shall not constitute a breach of Section 5.8; provided that such (x) acquirer Segregates the Competing Product and (y) AbbVie shall have the right, in its sole and absolute discretion, by written notice delivered to Harpoon (or its successor) at any time during the [***] following the written notice contemplated by Section 13.2.1, to (i) terminate any or all provisions of this Agreement providing for any delivery by AbbVie to Harpoon of Confidential Information of AbbVie relating to activities contemplated by this Agreement, save only for (A) Article 6, (B) information regarding sublicenses pursuant to Section 5.3, (C) information regarding the prosecution, enforcement, defense, litigation, infringement and licensing of Patents pursuant to (1) Sections 7.2.1, 7.2.3, 7.3.1, 7.3.5, 7.4, and 7.5.2, (2) solely with respect to Joint Patents, Sections 7.2.2, 7.3.2, and 7.5.3, and (3) solely with respect to Joint Patents and Harpoon Patents, Sections 7.3.4 and 7.5.1, (D) notice of any license pursuant to Section 5.9.2, (E) safety data pursuant to Section 8.1, (F) proposed disclosures pursuant to Section 9.5, (G) communications under Section 11.4 and (H) notices pursuant to Sections 11.3 and 13.1; and (ii) disband the JGC and terminate its activities, in which case the provisions set forth in the last sentence of Section 2.3 shall apply. (Page 39)  Harpoon (or its successor) shall provide AbbVie with written notice of any Change in Control of Harpoon or Acquisition by Harpoon within [***] following the closing date of such transaction. (Page 72)","Without the prior written consent of the other Party, such consent not to be unreasonably withheld, conditioned, or delayed, neither Party shall sell, transfer, assign, delegate, pledge, or otherwise dispose of, whether voluntarily, involuntarily, by operation of law or otherwise, this Agreement or any of its rights or duties hereunder; provided that either Party may make such an assignment without the other Party’s consent to its Affiliate or to a successor, whether in a merger, sale of stock, sale of assets or any other transaction, of the business to which this Agreement relates. (Page 73)  Any attempted assignment or delegation in violation of this Section 13.4 shall be void and of no effect. (Page 73)  AbbVie may use one (1) or more of its Affiliates to perform its obligations and duties hereunder and such AbbVie Affiliates are expressly granted certain rights herein; provided that each such Affiliate shall be bound by the corresponding obligations of AbbVie and, subject to an assignment to such Affiliate pursuant to Section 13.4, AbbVie shall remain liable hereunder for the prompt payment and performance of all their respective obligations hereunder. (Page 77)"
IbioInc_20200313_8-K_EX-10.1_12052678_EX-10.1_Development Agreement.pdf,,Neither Party may assign its rights or delegate any of its duties under this Agreement without the prior written consent of the other Party. (Page 9)  Any unauthorized assignment of this Agreement is void. (Page 9)
HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement.pdf,"The rights of Developer under this Agreement shall immediately cease and be terminated upon the sale or transfer of all or substantially all of the assets of Developer unless an assignment of such rights pursuant to such sale or transfer has been previously approved in writing by DSS. (Page 3)  The rights of Developer under this Agreement shall immediately cease and be terminated upon the sale or transfer of no less than a majority of, or a controlling interest in or over, the voting capital or ownership capital of Developer unless an assignment of such rights pursuant to such sale or transfer has been previously approved in writing by DSS. (Page 3)","Developer may not assign or transfer this Agreement, nor its rights and obligations hereunder, by operation of law or otherwise, to any third party without the prior express written approval of DSS. Any purported assignment without the consent of DSS shall be void. (Page 3)  The rights of Developer under this Agreement shall immediately cease and be terminated upon the sale or transfer of all or substantially all of the assets of Developer unless an assignment of such rights pursuant to such sale or transfer has been previously approved in writing by DSS. (Page 3)  The rights of Developer under this Agreement shall immediately cease and be terminated upon the sale or transfer of no less than a majority of, or a controlling interest in or over, the voting capital or ownership capital of Developer unless an assignment of such rights pursuant to such sale or transfer has been previously approved in writing by DSS. (Page 3)"
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.pdf,,"T&B shall not, during the Term, grant any third party a license to use the Licensed Intellectual Property within the Exclusive Field of Use. (Page 4)  Neither party may assign this Agreement without the other party’s prior written consent. (Page 13)  Notwithstanding the foregoing, either party may assign this Agreement without the other party’s prior written consent in the event of a merger, acquisition, reorganization, change in control, or sale of substantially all of the assets or business of such assigning part (Page 13)  Any assignment in conflict with this provision shall be void. (Page 13)"
LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement.pdf,,"Neither this Agreement nor any rights or obligations hereunder shall be transferred or assigned by either Party without the written consent of the other Party, which consent shall not be unreasonably withheld; provided, however, that Liquidmetal shall have the right, without the prior written consent of Eutectix, to assign its warranty rights and other rights hereunder with respect to specific Liquidmetal Products to the Customers of such Liquidmetal Products. (Page 22)"
NlsPharmaceuticsLtd_20200228_F-1_EX-10.14_12029046_EX-10.14_Development Agreement.pdf,"In the event of a Change of Control of the Licensee, the Agreement may be terminated by Licensor with immediate effect without any compensation to Licensee or to any other parties. (Page 21)  In the event of a Change of Control of the Licensor, the Agreement may be terminated by Licensee (Page 21)","Licensee shall not be entitled to assign the License or any of its rights under this Agreement or to grant any sub-licenses. (Page 7)  This Agreement may not be assigned or otherwise transferred, nor may any right or obligations hereunder be assigned or transferred, by either Party without the prior written consent of the other Party; provided, however, that Licensor may, without such consent, assign this Agreement and its rights and obligations hereunder, in whole or in part, to an Affiliate or in connection with the transfer or sale of all or substantially all of its assets related to the Licensed Product or the business relating thereto, or in the event of its merger or consolidation or change in control or similar transaction. (Page 24)"
PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement.pdf,"Within one hundred and twenty (120) days following the closing of a Change of Control, PB or its successor shall have the right to make a one-time payment (the “Change of Control Buy-Out Payment”) in lieu of all (but not less than all) remaining Approval Payments for the applicable country(ies) in which Regulatory Approval has been received as of the date of closing of such Change of Control, provided that SFJ has not previously assigned the right to receive the Approval Payments to a Third Party, in which event PB or its successor shall not have such right. (Page 51)  To exercise its right to make the Change of Control Buy-Out Payment, PB or its successor shall provide written notice to SFJ (the “Change of Control Buy-Out Notice”) no later than [***] after the date of closing of such Change of Control, which written notice shall set forth the amount of the applicable Change of <omitted> Control Buy-Out Payment, the proposed date of closing of the buy-out (which shall occur within [***] after the date of closing of such Change of Control), and the calculation of the Change of Control Buy-Out Payment in reasonable detail based upon the proposed closing date of the buy-out. (Pages 51-52)  PB will notify SFJ in writing promptly (and in any event within [***]) following the entering into of a definitive agreement with respect to a Change of Control of PB. (Page 81)  FJ may, in its sole discretion, terminate this Agreement in its entirety at any time following a Change of Control of PB that occurs prior to the date of payment by PB of the final Approval Payment. (Page 81)  Notwithstanding the foregoing, any assignment of the rights or obligations under this Agreement by a Party (i) to an Affiliate shall require such Party to guarantee the performance of such Affiliate’s financial and performance obligations hereunder or (ii) in connection with the sale or other transfer of all or substantially all of such Party’s business or assets to which this Agreement relates shall require the ultimate Affiliate controlling the other party in such transaction to guarantee such Party’s financial and performance obligations hereunder and such Party shall remain liable for such financial and performance obligations notwithstanding such sale or other transfer of all or substantially all of such Party’s business or assets to which this Agreement relates. (Page 88)","PB shall not sell, transfer or assign, directly or indirectly, in whole or in part, any rights to receive payments of royalties or license fees with respect to the Product or the PB Intellectual Property (including any Accounts with respect to such royalties or license fees), other than to a wholly owned direct or indirect subsidiary of PB (it being understood that the foregoing shall not restrict the creation of any Permitted Lien). (Page 55)  Without the prior written consent of the other Party hereto, neither Party will sell, transfer, assign, pledge or otherwise dispose of, whether voluntarily, involuntarily, by operation of law or otherwise, this Agreement or any of its rights or duties hereunder; provided, however, that either Party may assign, sublicense or transfer this Agreement and all of its rights and obligations hereunder, in their entirety, to any of its Affiliates or to a successor in connection with the sale or other transfer of all or substantially all of its business or assets to which this Agreement relates, whether by merger, sale of stock, sale of assets or otherwise, and (Page 87)  Notwithstanding the foregoing, any assignment of the rights or obligations under this Agreement by a Party (i) to an Affiliate shall require such Party to guarantee the performance of such Affiliate’s financial and performance obligations hereunder or (ii) in connection with the sale or other transfer of all or substantially all of such Party’s business or assets to which this Agreement relates shall require the ultimate Affiliate controlling the other party in such transaction to guarantee such Party’s financial and performance obligations hereunder and such Party shall remain liable for such financial and performance obligations notwithstanding such sale or other transfer of all or substantially all of such Party’s business or assets to which this Agreement relates. (Page 88)  Notwithstanding any of the foregoing, without the consent of PB, which consent may be withheld in PB’s sole discretion, SFJ shall not sell, assign, sublicense or otherwise transfer this Agreement to an entity whose primary business is the development or commercialization of pharmaceutical or biotechnology products prior to the date of Program Transfer. (Page 88)"
RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement.pdf,"RevMed will notify Sanofi in writing as soon as possible after RevMed announces publicly any information regarding any proposed Change of Control of RevMed (or if the Change of Control will not be publicly announced, then no later than [***] after the signing of the Change of Control). (Page 58)  Sanofi will have the option to either (A) terminate this Agreement in its entirety upon written notice to RevMed provided to RevMed within [***] of the effective date of such Change of Control; or (B) [***]. (Page 58)  RevMed shall pay Sanofi such royalties until the earlier of (x) expiration of the Post-Termination Royalty Term therefor and (y) a Change of Control of Sanofi. (Page 61)","Sanofi shall have the right to grant sublicenses (through multiple tiers) under the rights granted to it under Section 3.1 to one or more Third Parties (i) outside of the United States, and (ii) in the United States; provided that for purposes of subsection (ii), Sanofi shall not sublicense substantially all of the rights granted to it under Section 3.1 in the United States to Third Parties without RevMed’s prior written consent, such consent not to be unreasonably withheld, delayed or conditioned. (Page 27)  Neither Party may assign this Agreement or any of its rights or obligations hereunder, except as expressly permitted hereunder, or delegate any of its obligations under this Agreement, whether by operation of law or otherwise, in whole or in part, without the consent of the other Party, except as follows:   (i) Sanofi may, without consent of RevMed, assign this Agreement or its rights and obligations hereunder in whole or in part to any Affiliate of Sanofi, and RevMed may, with the consent of Sanofi (not to be unreasonably withheld, delayed or conditioned), assign this Agreement or its rights and obligations hereunder in whole or in part to any Affiliate of RevMed; (Page 75)  Either Party may, without consent of the other Party, assign this Agreement in whole to (i) in the case of RevMed, its successor in interest or assignee or purchaser, as applicable, in the case of a Change of Control or (ii) in the case of Sanofi, its successor in interest or assignee or purchaser, as applicable, in connection with the sale of all or substantially all of its assets to which this Agreement relates, or in connection with a merger, acquisition or similar transaction. (Page 75)  In the case of RevMed, the intellectual property owned or controlled by any such Acquiror or its Acquiror Family prior to the applicable Change of Control or other similar transaction immediately prior to such acquisition (other than as a result of a license from the acquired Party) or is thereafter developed outside the scope of this Agreement in accordance with this Agreement shall be excluded from the RevMed Licensed Technology, in each case only for so long as the remainder of the conditions of this Section 15.2 are met, and the Acquiror Family shall be excluded from “Affiliate” solely for purposes of the applicable components of the intellectual property definitions set forth herein, in all such cases if and only if: (A) the acquired Party remains a wholly-owned subsidiary of the Acquiror; (B) all intellectual property of the Acquired Party Family and <omitted> all research and development assets and operations of the Acquired Party Family, in each case relating to SHP2 Inhibitors and Products, remain with the Acquired Party Family and are not licensed or otherwise transferred to the Acquiror Party Family for any purpose; (C) the scientific and Development activities with respect to SHP2 Inhibitors and Products of the Acquired Party Family and Competing Products of the Acquiror Family (if any) are maintained separate and distinct, and (D) there is no exchange of Know-How relating to SHP2 Inhibitors and Products between the Acquired Party Family and the Acquiror Family. Any attempted assignment not in accordance with this Section 15.2 shall be null and void and of no legal effect. (Pages 75-76)  Any attempted assignment not in accordance with this Section 15.2 shall be null and void and of no legal effect. (Page 76)  Except as part of a transaction permitted under this Section 15.2, in no event shall RevMed assign or transfer, or agree to assign or transfer to any Third Party, any or all of the RevMed Licensed Patents without the consent of Sanofi, not be unreasonably withheld or conditioned. (Page 76)"
RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement.pdf,,"The Agreement shall not be assigned and is not assignable or delegable by either Party without the written consent of the other, which consent shall not be unreasonably withheld; provided, that Sekisui and Qualigen each may assign this Agreement without the consent of the other to a successor in connection with the merger, consolidation or sale of such Party or of all or substantially all of its assets or the portion of its business to which this Agreement relates. (Page 25)"
ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement.pdf,"Licensor may terminate this Agreement by providing prior written notice to Licensee upon the occurrence  of a Change of Control. (Page 8)  This Agreement and any rights or authority granted hereunder shall not be assigned or transferred by either Party, including by  operation of law, merger or otherwise, without the express written consent of the other Party, provided that Licensor may assign this Agreement  without consent to any of its Affiliates and Licensee may assign this Agreement without consent to SINA Leju or an Affiliate of Licensee that is  controlled by SINA Leju. (Page 13)","Notwithstanding anything in this Agreement to the contrary, Licensee has no right to sublicense any rights granted hereunder to any third  party, or otherwise permit any third party to use any Licensed Domain Names or Licensed Content; provided, however, that any rights granted to  Licensee hereunder shall be sublicensable, without the prior written consent of Licensor, to SINA Leju and Licensee’s Affiliates that are controlled  by SINA Leju solely for the purpose of operating the Business during the Term. (Page 4)  This Agreement and any rights or authority granted hereunder shall not be assigned or transferred by either Party, including by  operation of law, merger or otherwise, without the express written consent of the other Party, provided that Licensor may assign this Agreement  without consent to any of its Affiliates and Licensee may assign this Agreement without consent to SINA Leju or an Affiliate of Licensee that is  controlled by SINA Leju. (Page 13)"
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement.pdf,,"Without the prior written consent of the other party, neither party shall assign or transfer any of its rights or obligations hereunder, in whole or in part, to any third party, and any purported assignment without such prior written consent shall be null and void and of no force and effect_ except that notice, but no consent shall be required for such assignment or transfer in connection with an internal reorganization or sale of the transferring party, including by merger or other business combination, or a sale of substantially all of the assets of the transferring party. (Page 8)"
DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement.pdf,,"Neither  Party  shall  assign  or  transfer  to  any  third  party,           without  the  prior written consent of the other Party, this Agreement           or  any  rights  granted  herein. (Page 3)"
GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement.pdf,,"This Agreement is binding upon each party's assigns, transferees and successors; provided that no party may assign or otherwise transfer, by operation of law or otherwise, this Agreement in whole or in part, without the other party's prior written consent. (Page 9)"
IdeanomicsInc_20151124_8-K_EX-10.2_9354744_EX-10.2_Content License Agreement.pdf,,"Licensee shall have the right to assign or sublicense any or all of its rights granted under this Agreement, in whole or in part, to third parties exhibiting the Titles in the ordinary course of Licensee’s business with prior written notice to Licensor. E (Page 3)  Except as otherwise specified in the previous sentence, Licensee may not sublicense any of its rights under Section 2(a) without Licensor’s prior written consent, which shall not be unreasonably withheld or delayed. (Page 3)  Neither party may assign its rights, duties or obligations under this Agreement to any third party in whole or in part, without the other party’s prior written consent, except that (i) Licensee may assign its rights and obligations to this Agreement to any of its Affiliate or subsidiaries with the prior written consent of the Licensor, and (ii) Licensor may assign its rights and obligations in this Agreement to its Affiliates or subsidiaries and either party may assign this Agreement in its entirety to any purchaser of all or substantially all of its business or assets pertaining to the line of business to which this Agreement relates or to any Affiliate of the party without the other party’s approval. (Page 12)"
PhoenixNewMediaLtd_20110421_F-1_EX-10.17_6958322_EX-10.17_Content License Agreement.pdf,"In the event that     8.2.1 one Party is in breach of its obligations hereunder and fails to cure such breach within ten (10) Business Days following the other  Party’s written notice thereof, then the non-breaching Party may terminate this Agreement;     8.2.2 one Party enters into a bankruptcy process, Party B’s shareholder or equity structure changes (not including changes to Party B’s  shareholder or equity structure due to the Exclusive Call Option Agreement and Equity Pledge Agreement dated between  Party B, Phoenix Online and other relevant parties), or one Party ceases its business operation, then the other Party may send  a written notice of termination to such Party and this Agreement shall terminate as of the date on which such written notice is  served to such Party (Page 8)",Party B may not assign its rights and obligations hereunder without Party A’s consent in writing and the successors and permitted assigns of  the Parties shall be bound by this Agreement. (Page 9)
